THRUST
; AeroTech I65W
; converted from TMT test stand data 1997 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 762g, propellant weight: 412g
0.00	0.00
0.02	61.55
0.07	122.27
0.12	141.71
0.17	137.16
0.22	136.81
0.27	135.93
0.32	136.88
0.37	136.45
0.42	137.11
0.47	137.89
0.52	138.61
0.57	140.31
0.62	140.07
0.67	141.69
0.72	142.64
0.77	143.30
0.82	145.09
0.87	145.80
0.92	146.50
0.97	145.53
1.02	146.56
1.07	145.59
1.12	147.08
1.17	147.54
1.22	148.46
1.27	148.64
1.32	149.33
1.37	148.58
1.42	148.61
1.47	148.57
1.52	148.72
1.57	148.49
1.62	150.70
1.67	146.81
1.72	143.28
1.77	143.42
1.82	142.63
1.87	144.14
1.92	139.75
1.97	140.79
2.01	139.46
2.06	136.29
2.11	136.10
2.16	134.96
2.21	134.58
2.26	134.43
2.31	133.56
2.36	130.49
2.41	129.48
2.46	128.89
2.51	127.55
2.56	126.94
2.61	125.59
2.66	125.42
2.71	123.17
2.76	122.88
2.81	121.23
2.86	120.60
2.91	119.20
2.96	117.70
3.01	116.26
3.06	113.21
3.11	113.34
3.16	111.58
3.21	110.41
3.26	108.52
3.31	107.78
3.36	105.45
3.41	104.11
3.46	102.79
3.51	100.22
3.56	99.23
3.61	97.59
3.66	95.39
3.71	94.44
3.76	92.72
3.81	90.85
3.86	89.37
3.91	86.97
3.96	85.55
4.01	84.03
4.06	82.52
4.11	79.97
4.16	79.24
4.21	77.72
4.26	76.33
4.31	74.73
4.36	72.77
4.41	70.92
4.46	69.24
4.51	67.96
4.55	65.74
4.60	68.58
4.65	63.34
4.70	61.92
4.75	60.28
4.80	59.48
4.85	57.39
4.90	56.09
4.95	54.25
5.00	53.97
5.05	52.24
5.10	50.30
5.15	49.37
5.20	51.72
5.25	49.44
5.30	46.11
5.35	45.35
5.40	44.03
5.45	42.75
5.50	42.21
5.55	41.18
5.60	40.02
5.65	38.80
5.70	38.14
5.75	37.29
5.80	36.05
5.85	35.55
5.90	34.41
5.95	33.71
6.00	32.91
6.05	31.87
6.10	30.96
6.15	30.03
6.20	29.49
6.25	28.39
6.30	28.03
6.35	27.25
6.40	26.29
6.45	25.41
6.50	25.92
6.55	26.62
6.60	23.81
6.64	23.08
6.69	22.69
6.74	21.98
6.79	21.05
6.84	21.17
6.89	20.32
6.94	19.64
6.99	19.15
7.04	18.69
7.09	18.47
7.14	17.73
7.19	17.09
7.24	16.72
7.29	16.32
7.34	15.72
7.39	15.70
7.44	14.87
7.49	14.63
7.54	14.42
7.59	13.85
7.64	13.47
7.69	13.08
7.74	12.73
7.79	12.46
7.84	11.99
7.89	11.61
7.94	11.29
7.99	11.14
8.04	10.61
8.09	10.41
8.14	9.99
8.19	10.00
8.24	9.47
8.29	9.04
8.34	9.14
8.39	8.75
8.44	8.71
8.49	8.42
8.54	8.06
8.59	7.53
8.64	7.57
8.69	7.19
8.74	6.90
8.79	6.85
8.84	6.48
8.89	6.41
8.94	5.90
8.99	5.67
9.04	5.39
9.09	5.05
-1.00
